,name,country,clouds,humidity,temp,max_temp,wind_spd,lat,lon
0,Wiangaree,AU,4,64,68.5,71.01,4.7,-28.51667,152.966675
1,Rodilana,ES,8,71,50.0,50.0,8.05,41.37059,-4.87798
2,Dörrenbach,DE,100,91,43.97,48.0,1.01,49.089722,7.9614
3,Heiiyugou,CN,100,50,41.4,41.4,2.75,40.804298,120.55368
4,Heilongjiang Sheng,CN,0,83,26.76,26.76,11.16,48.0,128.0
5,Rio Pomba,BR,62,47,78.01,78.01,3.94,-21.274719,-43.179169
6,San Carlos del Zulia,VE,78,83,80.6,80.6,6.69,9.00003,-71.913521
7,Tsamkanī,AF,0,44,53.51,53.51,3.89,33.802979,69.816711
8,Lapu-Lapu City (Opon),PH,90,94,77.0,77.0,1.12,10.31667,123.949997
9,Kirch Jesar,DE,100,89,48.99,48.99,1.99,53.4333,11.2833
10,Mockrehna,DE,100,74,48.36,50.0,10.25,51.5,12.8
11,Chañe,ES,26,71,50.0,50.0,8.05,41.338341,-4.42764
12,Ovindoli,IT,0,84,42.66,46.0,1.01,42.137032,13.5161
13,Vehlgast,DE,100,88,49.32,50.0,1.01,52.799999,12.2
14,Frutigen,CH,100,83,44.35,45.0,1.05,46.558449,7.61682
15,Oberleiten,DE,61,57,38.68,39.99,3.38,47.73333,11.86667
16,Knivsta,SE,1,93,39.45,39.99,6.93,59.725639,17.787531
17,Curiel de Duero,ES,33,71,49.24,50.0,8.05,41.645241,-4.09074
18,Saddina,MA,0,82,62.6,62.6,2.24,35.614101,-5.45191
19,Schlat,DE,14,81,37.0,37.0,2.62,48.653412,9.70651
20,Charlevoix,US,75,54,56.88,59.0,12.75,45.318062,-85.2584
21,Levokumka,RU,18,81,51.4,51.8,2.24,44.231667,43.150002
22,Mumford,GH,89,87,77.49,77.49,11.86,5.26176,-0.75897
23,Viellenave-d'Arthez,FR,89,93,51.8,51.8,6.93,43.416672,-0.48333000000000004
24,Ciawi,ID,99,80,77.81,77.81,8.46,-7.664,107.7631
25,Lat Krabang,TH,75,94,75.04,75.99,3.36,13.72341,100.784363
26,Amaseno,IT,21,81,48.76,53.01,7.0,41.467819,13.336
27,Lawson Heights,US,1,39,57.79,62.6,8.05,40.29174,-79.389198
28,Miserey-Salines,FR,100,100,45.0,45.0,1.72,47.286381,5.97387
29,Mateeşti,RO,20,83,41.68,41.68,5.21,45.066669,23.85
